student_id,role,username,password,gender,age,degree,educational_program,year_of_study,average_gpa,average_attendance,preferred_field_of_study,self_study_hours,average_sleep_hours,motivation_level,has_job,financial_support_from_family,stress_frequency,communication_skills,teacher_competence_satisfaction,use_of_university_resources,importance_of_interest_in_subject,exam_preparation_hours,most_influencing_factor
16,student,student_16,student_16,male,above 24,master,7m06105 computer science and engineering,2 year,3.3-3.4,80-89%,humanities,1-3 hours,7-9 hours,average,"yes, full-time",no financial support,sometimes,average,hard to say,sometimes,moderately important,2–8 hours,quality of teaching
17,student,student_17,student_17,male,22-23,master,7m06105 computer science and engineering,2 year,above 3.5,90-100%,technical sciences,1-3 hours,7-9 hours,high,no,full support,often,high,rather satisfied,rarely,important,2–8 hours,quality of teaching
18,student,student_18,student_18,male,22-23,master,7m06105 computer science and engineering,2 year,3.3-3.4,80-89%,technical sciences,1-3 hours,7-9 hours,high,"yes, full-time",no financial support,sometimes,low,hard to say,often,important,2–8 hours,interest in the subject
19,student,student_19,student_19,female,20-21,master,7m06105 computer science and engineering,1 year,3.1-3.2,90-100%,technical sciences,1-3 hours,7-9 hours,high,"yes, part-time",partial support,often,high,rather satisfied,rarely,important,2–8 hours,quality of teaching
20,student,student_20,student_20,male,20-21,master,7m06105 computer science and engineering,1 year,3.1-3.2,80-89%,humanities,more than 4 hours,more than 10 hours,high,no,full support,often,high,rather satisfied,rarely,slightly important,9–15 hours,personal motivation
21,student,student_21,student_21,male,20-21,master,7m06105 computer science and engineering,1 year,3.3-3.4,80-89%,technical sciences,1-3 hours,7-9 hours,high,"yes, part-time",partial support,rarely,average,hard to say,sometimes,moderately important,2–8 hours,personal motivation
22,student,student_22,student_22,male,22-23,master,7m06105 computer science and engineering,2 year,3.3-3.4,80-89%,technical sciences,1-3 hours,7-9 hours,high,no,full support,rarely,average,rather satisfied,sometimes,moderately important,9–15 hours,personal motivation
23,student,student_23,student_23,male,20-21,master,7m06105 computer science and engineering,1 year,below 2.7,below 70%,humanities,1-3 hours,7-9 hours,low,"yes, full-time",no financial support,rarely,low,rather dissatisfied,never,slightly important,do not prepare,financial situation
24,student,student_24,student_24,female,20-21,master,7m06105 computer science and engineering,1 year,below 2.7,below 70%,humanities,do not prepare,7-9 hours,very low,"yes, full-time",no financial support,never,very low,not satisfied at all,never,not important,do not prepare,personal motivation
25,student,student_25,student_25,male,22-23,master,7m06105 computer science and engineering,2 year,3.3-3.4,80-89%,computer sciences,1-3 hours,more than 10 hours,high,no,partial support,rarely,high,rather satisfied,never,slightly important,9–15 hours,quality of teaching
26,student,student_26,student_26,male,22-23,master,7m06105 computer science and engineering,2 year,above 3.5,90-100%,computer sciences,1-3 hours,7-9 hours,high,"yes, full-time",no financial support,sometimes,average,hard to say,sometimes,moderately important,2–8 hours,quality of teaching
27,student,student_27,student_27,male,22-23,master,7m06105 computer science and engineering,1 year,above 3.5,90-100%,computer sciences,1-3 hours,less than 6 hours,high,"yes, full-time",no financial support,often,high,rather satisfied,often,important,9–15 hours,interest in the subject
28,student,student_28,student_28,male,22-23,master,7m06105 computer science and engineering,1 year,3.3-3.4,90-100%,computer sciences,1-3 hours,7-9 hours,average,"yes, full-time",full support,often,high,rather satisfied,rarely,not important,9–15 hours,family support
29,student,student_29,student_29,male,22-23,master,7m06105 computer science and engineering,1 year,3.3-3.4,80-89%,computer sciences,1-3 hours,7-9 hours,average,no,partial support,sometimes,average,hard to say,sometimes,moderately important,2–8 hours,amount of self-study
30,student,student_30,student_30,male,22-23,master,7m06105 computer science and engineering,1 year,3.1-3.2,80-89%,computer sciences,1-3 hours,7-9 hours,average,"yes, full-time",no financial support,sometimes,average,hard to say,sometimes,moderately important,2–8 hours,personal motivation
31,student,student_31,student_31,male,22-23,master,7m06105 computer science and engineering,2 year,3.1-3.2,80-89%,computer sciences,1-3 hours,7-9 hours,high,"yes, full-time",partial support,often,high,rather satisfied,often,important,less than 1 hour,amount of self-study
32,student,student_32,student_32,male,20-21,master,7m06105 computer science and engineering,2 year,2.8-3.0,70-79%,computer sciences,1-3 hours,more than 10 hours,average,no,full support,sometimes,average,hard to say,rarely,important,2–8 hours,quality of teaching
33,student,student_33,student_33,female,20-21,master,7m06105 computer science and engineering,2 year,2.8-3.0,70-79%,computer sciences,1-3 hours,7-9 hours,low,"yes, full-time",no financial support,rarely,low,rather dissatisfied,rarely,slightly important,do not prepare,financial situation
34,student,student_34,student_34,female,22-23,master,7m06105 computer science and engineering,2 year,2.8-3.0,70-79%,computer sciences,do not prepare,less than 6 hours,low,"yes, full-time",no financial support,rarely,low,not satisfied at all,never,not important,do not prepare,financial situation
35,student,student_35,student_35,male,22-23,master,7m06105 computer science and engineering,2 year,2.8-3.0,70-79%,computer sciences,1-3 hours,7-9 hours,average,"yes, full-time",partial support,sometimes,average,hard to say,sometimes,moderately important,less than 1 hour,interest in the subject
36,student,student_36,student_36,male,20-21,master,7m06105 computer science and engineering,1 year,3.1-3.2,80-89%,computer sciences,less than 1 hour,7-9 hours,high,no,full support,often,high,rather satisfied,rarely,important,less than 1 hour,financial situation
37,student,student_37,student_37,male,22-23,master,7m06105 computer science and engineering,2 year,3.3-3.4,80-89%,technical sciences,1-3 hours,more than 10 hours,high,"yes, part-time",partial support,sometimes,high,hard to say,rarely,important,2–8 hours,family support
38,student,student_38,student_38,male,20-21,master,7m06105 computer science and engineering,1 year,3.3-3.4,70-79%,technical sciences,less than 1 hour,7-9 hours,high,no,full support,sometimes,low,hard to say,sometimes,slightly important,2–8 hours,amount of self-study
39,student,student_39,student_39,male,16-17,bachelor,7м06107 media technologies,1 year,2.8-3.0,90-100%,humanities,1-3 hours,less than 6 hours,average,no,full support,sometimes,very high,fully satisfied,sometimes,very important,9–15 hours,personal motivation
40,student,student_40,student_40,male,18-19,bachelor,6b06105 media technologies,1 year,above 3.5,90-100%,technical sciences,1-3 hours,7-9 hours,average,no,partial support,rarely,high,fully satisfied,rarely,moderately important,2–8 hours,personal motivation
41,student,student_41,student_41,male,22-23,bachelor,6b06105 media technologies,1 year,2.8-3.0,90-100%,computer sciences,1-3 hours,7-9 hours,average,no,full support,sometimes,average,rather dissatisfied,sometimes,important,less than 1 hour,financial situation
42,student,student_42,student_42,female,20-21,master,7m06105 computer science and engineering,2 year,2.8-3.0,70-79%,computer sciences,less than 1 hour,less than 6 hours,average,"yes, full-time",no financial support,rarely,low,rather dissatisfied,never,moderately important,less than 1 hour,personal motivation
43,student,student_43,student_43,female,22-23,master,7m06105 computer science and engineering,2 year,3.3-3.4,80-89%,technical sciences,1-3 hours,7-9 hours,high,"yes, full-time",partial support,often,average,rather satisfied,rarely,moderately important,2–8 hours,financial situation
44,student,student_44,student_44,male,22-23,master,7m06105 computer science and engineering,2 year,3.3-3.4,90-100%,technical sciences,more than 4 hours,7-9 hours,high,no,full support,often,average,hard to say,rarely,moderately important,2–8 hours,family support
45,student,student_45,student_45,female,20-21,master,7m06105 computer science and engineering,1 year,3.3-3.4,80-89%,technical sciences,1-3 hours,7-9 hours,high,"yes, full-time",partial support,rarely,high,hard to say,rarely,important,2–8 hours,financial situation
46,student,student_46,student_46,male,22-23,master,7m06105 computer science and engineering,2 year,3.3-3.4,90-100%,technical sciences,1-3 hours,7-9 hours,high,"yes, full-time",partial support,sometimes,high,rather satisfied,rarely,important,2–8 hours,financial situation
47,student,student_47,student_47,female,22-23,master,7m06105 computer science and engineering,2 year,below 2.7,70-79%,technical sciences,1-3 hours,7-9 hours,low,"yes, full-time",no financial support,rarely,average,not satisfied at all,never,not important,do not prepare,interest in the subject
48,student,student_48,student_48,female,22-23,master,7m06105 computer science and engineering,2 year,2.8-3.0,70-79%,computer sciences,1-3 hours,7-9 hours,average,"yes, full-time",partial support,rarely,average,hard to say,never,slightly important,do not prepare,financial situation
49,student,student_49,student_49,male,22-23,master,7m06105 computer science and engineering,2 year,3.1-3.2,80-89%,computer sciences,1-3 hours,7-9 hours,high,no,full support,sometimes,average,hard to say,sometimes,moderately important,2–8 hours,quality of teaching
50,student,student_50,student_50,male,22-23,master,7m06105 computer science and engineering,2 year,3.3-3.4,90-100%,computer sciences,1-3 hours,7-9 hours,high,"yes, full-time",partial support,sometimes,high,rather satisfied,often,important,2–8 hours,personal motivation
51,student,student_51,student_51,female,22-23,master,7m06105 computer science and engineering,2 year,above 3.5,90-100%,computer sciences,1-3 hours,7-9 hours,high,"yes, full-time",full support,often,high,rather satisfied,often,important,2–8 hours,personal motivation
52,student,student_52,student_52,male,22-23,master,7m06105 computer science and engineering,2 year,2.8-3.0,70-79%,humanities,1-3 hours,7-9 hours,low,"yes, full-time",no financial support,never,low,rather dissatisfied,never,not important,do not prepare,financial situation
53,student,student_53,student_53,female,22-23,master,7m06105 computer science and engineering,2 year,3.3-3.4,80-89%,technical sciences,1-3 hours,7-9 hours,high,"yes, full-time",partial support,sometimes,high,hard to say,rarely,slightly important,2–8 hours,quality of teaching
54,student,student_54,student_54,female,22-23,master,7m06105 computer science and engineering,2 year,3.3-3.4,80-89%,technical sciences,1-3 hours,7-9 hours,high,"yes, full-time",partial support,sometimes,high,hard to say,rarely,slightly important,2–8 hours,quality of teaching
55,student,student_55,student_55,female,22-23,master,7m06105 computer science and engineering,2 year,2.8-3.0,70-79%,humanities,less than 1 hour,less than 6 hours,low,"yes, full-time",partial support,rarely,low,rather dissatisfied,never,not important,less than 1 hour,interest in the subject
56,student,student_56,student_56,female,22-23,master,7m06105 computer science and engineering,2 year,3.3-3.4,90-100%,humanities,more than 4 hours,more than 10 hours,high,no,full support,rarely,high,rather satisfied,sometimes,moderately important,2–8 hours,family support
57,student,student_57,student_57,male,22-23,master,7m06105 computer science and engineering,2 year,3.3-3.4,80-89%,technical sciences,1-3 hours,7-9 hours,high,no,partial support,often,high,hard to say,rarely,important,2–8 hours,family support
58,student,student_58,student_58,female,22-23,master,7m06105 computer science and engineering,2 year,3.3-3.4,80-89%,computer sciences,1-3 hours,7-9 hours,high,"yes, full-time",full support,sometimes,average,rather satisfied,sometimes,important,less than 1 hour,financial situation
59,student,student_59,student_59,male,22-23,master,7m06105 computer science and engineering,2 year,above 3.5,90-100%,computer sciences,1-3 hours,7-9 hours,high,no,full support,often,high,rather satisfied,never,important,less than 1 hour,family support
60,student,student_60,student_60,male,20-21,master,7m06105 computer science and engineering,1 year,2.8-3.0,90-100%,technical sciences,1-3 hours,7-9 hours,high,"yes, full-time",no financial support,sometimes,high,fully satisfied,often,important,2–8 hours,personal motivation
61,student,student_61,student_61,male,20-21,master,7m06105 computer science and engineering,1 year,3.1-3.2,90-100%,technical sciences,1-3 hours,7-9 hours,high,no,full support,sometimes,high,fully satisfied,sometimes,important,2–8 hours,personal motivation
62,student,student_62,student_62,male,20-21,master,7m06105 computer science and engineering,1 year,3.1-3.2,90-100%,computer sciences,1-3 hours,7-9 hours,high,"yes, full-time",partial support,often,high,rather satisfied,often,important,2–8 hours,personal motivation
63,student,student_63,student_63,male,20-21,master,7m06105 computer science and engineering,1 year,3.1-3.2,80-89%,humanities,1-3 hours,7-9 hours,high,"yes, full-time",partial support,often,high,rather satisfied,often,moderately important,9–15 hours,interest in the subject
64,student,student_64,student_64,male,22-23,master,7m06105 computer science and engineering,2 year,3.3-3.4,70-79%,computer sciences,1-3 hours,7-9 hours,very high,no,full support,often,high,fully satisfied,sometimes,important,9–15 hours,personal motivation
65,student,student_65,student_65,female,20-21,master,7m06105 computer science and engineering,1 year,3.1-3.2,90-100%,technical sciences,1-3 hours,7-9 hours,high,"yes, full-time",partial support,sometimes,high,rather satisfied,sometimes,important,2–8 hours,quality of teaching
66,student,student_66,student_66,female,22-23,master,7m06105 computer science and engineering,2 year,3.3-3.4,90-100%,technical sciences,1-3 hours,7-9 hours,high,"yes, full-time",partial support,often,high,rather satisfied,rarely,important,2–8 hours,quality of teaching
67,student,student_67,student_67,male,22-23,master,7m06103 applied data analytics,2 year,3.3-3.4,80-89%,computer sciences,1-3 hours,7-9 hours,average,"yes, full-time",partial support,sometimes,high,rather satisfied,rarely,important,2–8 hours,personal motivation
68,student,student_68,student_68,male,22-23,master,7m06103 applied data analytics,2 year,3.1-3.2,90-100%,computer sciences,1-3 hours,7-9 hours,high,"yes, full-time",partial support,often,high,rather dissatisfied,often,slightly important,2–8 hours,interest in the subject
69,student,student_69,student_69,female,22-23,master,7m06103 applied data analytics,2 year,3.3-3.4,80-89%,computer sciences,1-3 hours,7-9 hours,high,"yes, full-time",partial support,rarely,average,rather satisfied,sometimes,moderately important,2–8 hours,personal motivation
70,student,student_70,student_70,female,22-23,master,7m06103 applied data analytics,2 year,below 2.7,70-79%,humanities,less than 1 hour,7-9 hours,average,"yes, full-time",partial support,never,low,rather dissatisfied,never,slightly important,do not prepare,quality of teaching
71,student,student_71,student_71,female,22-23,master,7m06103 applied data analytics,2 year,below 2.7,below 70%,humanities,do not prepare,less than 6 hours,very low,"yes, full-time",no financial support,never,very low,not satisfied at all,never,not important,do not prepare,quality of teaching
72,student,student_72,student_72,female,22-23,master,7m06103 applied data analytics,2 year,2.8-3.0,70-79%,technical sciences,less than 1 hour,7-9 hours,average,"yes, full-time",partial support,rarely,average,hard to say,rarely,moderately important,less than 1 hour,personal motivation
73,student,student_73,student_73,male,22-23,master,7m06103 applied data analytics,2 year,3.3-3.4,90-100%,computer sciences,more than 4 hours,7-9 hours,very high,"yes, full-time",partial support,sometimes,very high,fully satisfied,often,very important,9–15 hours,personal motivation
74,student,student_74,student_74,female,22-23,master,7m06103 applied data analytics,2 year,above 3.5,90-100%,computer sciences,1-3 hours,7-9 hours,very high,"yes, full-time",partial support,sometimes,high,rather satisfied,never,important,2–8 hours,quality of teaching
75,student,student_75,student_75,male,22-23,master,7m06103 applied data analytics,2 year,2.8-3.0,70-79%,technical sciences,less than 1 hour,less than 6 hours,low,"yes, full-time",no financial support,rarely,average,rather dissatisfied,never,important,less than 1 hour,interest in the subject
76,student,student_76,student_76,female,22-23,master,7m06103 applied data analytics,2 year,2.8-3.0,70-79%,humanities,less than 1 hour,7-9 hours,low,no,full support,rarely,low,rather dissatisfied,never,slightly important,less than 1 hour,quality of teaching
77,student,student_77,student_77,female,22-23,master,7m06103 applied data analytics,2 year,above 3.5,80-89%,computer sciences,1-3 hours,7-9 hours,high,no,full support,sometimes,high,rather satisfied,never,important,2–8 hours,interest in the subject
78,student,student_78,student_78,female,22-23,master,7m06103 applied data analytics,2 year,3.3-3.4,70-79%,technical sciences,less than 1 hour,7-9 hours,average,"yes, part-time",partial support,rarely,high,hard to say,rarely,important,less than 1 hour,quality of teaching
79,student,student_79,student_79,female,22-23,master,7m06103 applied data analytics,2 year,above 3.5,80-89%,computer sciences,1-3 hours,7-9 hours,average,"yes, full-time",partial support,sometimes,average,hard to say,never,moderately important,2–8 hours,quality of teaching
