student_id,role,username,password,gender,age,degree,educational_program,year_of_study,average_gpa,average_attendance,preferred_field_of_study,self_study_hours,average_sleep_hours,motivation_level,has_job,financial_support_from_family,stress_frequency,communication_skills,teacher_competence_satisfaction,use_of_university_resources,importance_of_interest_in_subject,exam_preparation_hours,most_influencing_factor
40,student,student_40,student_40,female,16-17,bachelor,6b06105 media technologies,1 year,2.8-3.4,90-100%,humanities,1-3 hours,less than 6 hours,average,no,partial support,often,average,hard to say,often,important,5–10 hours,quality of teaching
41,student,student_41,student_41,male,18-19,bachelor,6b06105 media technologies,1 year,2.8-3.4,80-89%,humanities,less than 1 hour,less than 6 hours,low,no,full support,very often,very high,rather satisfied,sometimes,important,less than 5 hours,amount of self-study
42,student,student_42,student_42,female,18-19,bachelor,6b06105 media technologies,1 year,above 3.5,90-100%,technical sciences,1-3 hours,7-9 hours,high,"yes, part-time",full support,sometimes,very high,rather satisfied,never,important,less than 5 hours,quality of teaching
43,student,student_43,student_43,male,18-19,bachelor,6b06105 media technologies,1 year,2.8-3.4,90-100%,computer sciences,1-3 hours,less than 6 hours,average,no,partial support,sometimes,high,rather satisfied,rarely,important,5–10 hours,amount of self-study
44,student,student_44,student_44,female,18-19,bachelor,6b06105 media technologies,1 year,2.8-3.4,90-100%,technical sciences,more than 4 hours,less than 6 hours,average,"yes, part-time",full support,often,high,rather satisfied,sometimes,very important,5–10 hours,personal motivation
45,student,student_45,student_45,male,18-19,bachelor,6b06105 media technologies,1 year,2.8-3.4,70-79%,computer sciences,1-3 hours,7-9 hours,average,no,full support,sometimes,average,rather satisfied,often,important,5–10 hours,personal motivation
46,student,student_46,student_46,female,16-17,bachelor,6b06105 media technologies,1 year,2.8-3.4,80-89%,technical sciences,less than 1 hour,less than 6 hours,average,no,full support,sometimes,average,hard to say,rarely,important,less than 5 hours,interest in the subject
47,student,student_47,student_47,female,16-17,bachelor,6b06105 media technologies,1 year,2.8-3.4,90-100%,humanities,1-3 hours,less than 6 hours,high,no,full support,sometimes,average,rather satisfied,sometimes,important,5–10 hours,interest in the subject
48,student,student_48,student_48,female,18-19,bachelor,6b06105 media technologies,1 year,2.0-2.7,80-89%,technical sciences,1-3 hours,less than 6 hours,average,no,full support,often,average,rather satisfied,rarely,very important,11–20 hours,family support
49,student,student_49,student_49,female,18-19,bachelor,6b06105 media technologies,1 year,2.0-2.7,80-89%,technical sciences,1-3 hours,less than 6 hours,average,no,full support,often,high,rather satisfied,often,very important,less than 5 hours,personal motivation
50,student,student_50,student_50,female,16-17,bachelor,6b06105 media technologies,1 year,2.8-3.4,90-100%,computer sciences,1-3 hours,less than 6 hours,average,no,full support,sometimes,average,hard to say,rarely,important,less than 5 hours,amount of self-study
51,student,student_51,student_51,female,16-17,bachelor,6b04102 it entrepreneurship,1 year,2.8-3.4,80-89%,humanities,1-3 hours,less than 6 hours,average,no,partial support,often,high,rather satisfied,sometimes,very important,11–20 hours,stress level
52,student,student_52,student_52,male,16-17,bachelor,6b06105 media technologies,1 year,2.8-3.4,80-89%,technical sciences,1-3 hours,less than 6 hours,average,"yes, part-time",partial support,often,average,hard to say,sometimes,important,5–10 hours,amount of self-study
53,student,student_53,student_53,male,16-17,bachelor,6b06105 media technologies,1 year,2.0-2.7,80-89%,computer sciences,less than 1 hour,7-9 hours,average,no,full support,very often,average,rather dissatisfied,rarely,very important,less than 5 hours,interest in the subject
54,student,student_54,student_54,female,16-17,bachelor,6b06105 media technologies,1 year,2.0-2.7,90-100%,computer sciences,1-3 hours,less than 6 hours,low,no,full support,often,high,rather dissatisfied,rarely,moderately important,less than 5 hours,interest in the subject
55,student,student_55,student_55,male,16-17,bachelor,6b06105 media technologies,1 year,2.8-3.4,90-100%,technical sciences,1-3 hours,7-9 hours,average,"yes, part-time",partial support,sometimes,average,fully satisfied,rarely,important,5–10 hours,interest in the subject
56,student,student_56,student_56,male,18-19,bachelor,6b06105 media technologies,1 year,above 3.5,50-69%,computer sciences,1-3 hours,7-9 hours,average,no,full support,never,average,hard to say,rarely,important,less than 5 hours,personal motivation
57,student,student_57,student_57,female,18-19,bachelor,6b06105 media technologies,1 year,2.0-2.7,80-89%,technical sciences,1-3 hours,7-9 hours,average,no,partial support,very often,high,rather satisfied,rarely,very important,less than 5 hours,personal motivation
58,student,student_58,student_58,female,16-17,bachelor,6b06105 media technologies,1 year,2.8-3.4,90-100%,humanities,1-3 hours,7-9 hours,average,no,full support,sometimes,very high,fully satisfied,often,very important,5–10 hours,personal motivation
59,student,student_59,student_59,female,18-19,bachelor,6b06105 media technologies,1 year,2.8-3.4,80-89%,computer sciences,1-3 hours,less than 6 hours,average,no,partial support,often,average,rather satisfied,sometimes,moderately important,less than 5 hours,personal motivation
60,student,student_60,student_60,female,16-17,bachelor,6b06105 media technologies,1 year,2.8-3.4,90-100%,technical sciences,1-3 hours,less than 6 hours,average,no,full support,sometimes,average,rather satisfied,sometimes,important,less than 5 hours,quality of teaching
61,student,student_61,student_61,male,18-19,bachelor,6b06105 media technologies,1 year,2.8-3.4,70-79%,technical sciences,1-3 hours,7-9 hours,average,"yes, part-time",partial support,often,average,hard to say,sometimes,moderately important,less than 5 hours,amount of self-study
62,student,student_62,student_62,female,18-19,bachelor,6b06105 media technologies,1 year,2.8-3.4,90-100%,technical sciences,1-3 hours,less than 6 hours,average,no,full support,often,high,rather satisfied,often,moderately important,5–10 hours,interest in the subject
63,student,student_63,student_63,female,18-19,bachelor,6b06105 media technologies,1 year,above 3.5,90-100%,technical sciences,1-3 hours,less than 6 hours,average,no,partial support,often,average,rather satisfied,sometimes,important,5–10 hours,interest in the subject
64,student,student_64,student_64,female,16-17,bachelor,6b06105 media technologies,1 year,above 3.5,90-100%,technical sciences,1-3 hours,7-9 hours,high,no,full support,sometimes,high,rather satisfied,very often,very important,5–10 hours,interest in the subject
65,student,student_65,student_65,male,16-17,bachelor,7м06107 media technologies,1 year,above 3.5,90-100%,technical sciences,more than 4 hours,7-9 hours,very high,no,partial support,rarely,very high,fully satisfied,often,very important,5–10 hours,financial situation
66,student,student_66,student_66,male,18-19,bachelor,6b06105 media technologies,1 year,2.8-3.4,90-100%,technical sciences,less than 1 hour,less than 6 hours,high,no,full support,never,average,hard to say,sometimes,slightly important,less than 5 hours,amount of self-study
67,student,student_67,student_67,female,18-19,bachelor,6b06105 media technologies,1 year,2.8-3.4,70-79%,computer sciences,1-3 hours,less than 6 hours,average,no,full support,often,high,rather satisfied,often,important,less than 5 hours,interest in the subject
68,student,student_68,student_68,female,20-21,bachelor,6b06105 media technologies,1 year,2.8-3.4,80-89%,technical sciences,more than 4 hours,less than 6 hours,high,"yes, part-time",partial support,very often,average,rather satisfied,sometimes,important,5–10 hours,stress level
69,student,student_69,student_69,female,18-19,bachelor,7м06107 media technologies,1 year,above 3.5,80-89%,humanities,less than 1 hour,less than 6 hours,average,no,partial support,sometimes,high,rather dissatisfied,never,important,5–10 hours,quality of teaching
70,student,student_70,student_70,male,16-17,bachelor,7м06107 media technologies,1 year,2.8-3.4,90-100%,technical sciences,1-3 hours,7-9 hours,high,no,full support,sometimes,high,fully satisfied,rarely,important,5–10 hours,family support
71,student,student_71,student_71,female,16-17,bachelor,6b06105 media technologies,1 year,2.8-3.4,90-100%,technical sciences,1-3 hours,7-9 hours,average,no,full support,rarely,average,fully satisfied,sometimes,important,less than 5 hours,quality of teaching
72,student,student_72,student_72,male,16-17,bachelor,6b06105 media technologies,1 year,2.8-3.4,90-100%,computer sciences,1-3 hours,7-9 hours,average,no,partial support,often,low,rather satisfied,often,very important,11–20 hours,interest in the subject
73,student,student_73,student_73,male,18-19,bachelor,7м06107 media technologies,1 year,2.8-3.4,90-100%,computer sciences,1-3 hours,7-9 hours,average,no,full support,often,high,rather satisfied,rarely,very important,11–20 hours,amount of self-study
74,student,student_74,student_74,female,16-17,bachelor,6b06105 media technologies,1 year,above 3.5,90-100%,technical sciences,1-3 hours,7-9 hours,average,no,full support,sometimes,average,rather satisfied,often,important,less than 5 hours,personal motivation
75,student,student_75,student_75,female,16-17,bachelor,6b06105 media technologies,1 year,2.8-3.4,90-100%,technical sciences,1-3 hours,7-9 hours,average,no,full support,sometimes,average,rather satisfied,often,important,5–10 hours,amount of self-study
76,student,student_76,student_76,male,18-19,bachelor,6b06105 media technologies,1 year,2.8-3.4,90-100%,humanities,more than 4 hours,7-9 hours,high,no,full support,very often,high,hard to say,rarely,very important,5–10 hours,financial situation
77,student,student_77,student_77,male,16-17,bachelor,6b06105 media technologies,1 year,above 3.5,90-100%,computer sciences,more than 4 hours,less than 6 hours,high,no,partial support,very often,very high,fully satisfied,rarely,very important,more than 20 hours,amount of self-study
78,student,student_78,student_78,female,16-17,bachelor,6b06105 media technologies,1 year,2.8-3.4,90-100%,computer sciences,1-3 hours,7-9 hours,low,no,full support,sometimes,average,rather satisfied,sometimes,very important,less than 5 hours,interest in the subject
79,student,student_79,student_79,female,16-17,bachelor,6b06105 media technologies,1 year,2.8-3.4,90-100%,technical sciences,1-3 hours,7-9 hours,low,no,full support,sometimes,high,rather satisfied,sometimes,moderately important,less than 5 hours,interest in the subject
80,student,student_80,student_80,female,18-19,bachelor,6b06105 media technologies,1 year,2.8-3.4,90-100%,computer sciences,1-3 hours,less than 6 hours,average,no,full support,often,average,hard to say,never,important,less than 5 hours,stress level
81,student,student_81,student_81,male,18-19,bachelor,7м06107 media technologies,1 year,2.8-3.4,90-100%,technical sciences,more than 4 hours,7-9 hours,average,no,full support,sometimes,average,rather satisfied,sometimes,very important,less than 5 hours,interest in the subject
82,student,student_82,student_82,female,18-19,bachelor,6b06105 media technologies,1 year,2.0-2.7,90-100%,humanities,1-3 hours,less than 6 hours,average,no,partial support,sometimes,high,hard to say,very often,important,11–20 hours,interest in the subject
83,student,student_83,student_83,female,16-17,bachelor,6b06105 media technologies,1 year,2.8-3.4,90-100%,technical sciences,1-3 hours,7-9 hours,average,no,partial support,sometimes,high,rather satisfied,often,important,less than 5 hours,interest in the subject
84,student,student_84,student_84,female,16-17,bachelor,6b06105 media technologies,1 year,2.0-2.7,70-79%,computer sciences,1-3 hours,7-9 hours,average,no,full support,often,high,rather satisfied,often,very important,5–10 hours,interest in the subject
85,student,student_85,student_85,female,18-19,bachelor,6b03201 digital journalism,1 year,2.8-3.4,70-79%,humanities,less than 1 hour,less than 6 hours,very low,"yes, part-time",full support,very often,average,rather dissatisfied,rarely,very important,less than 5 hours,interest in the subject
86,student,student_86,student_86,female,16-17,bachelor,6b03201 digital journalism,1 year,2.8-3.4,70-79%,technical sciences,1-3 hours,less than 6 hours,average,no,full support,often,average,rather satisfied,sometimes,moderately important,5–10 hours,quality of teaching
87,student,student_87,student_87,male,22-23,bachelor,7м06107 media technologies,1 year,above 3.5,90-100%,computer sciences,less than 1 hour,7-9 hours,very low,no,full support,sometimes,average,rather dissatisfied,never,slightly important,less than 5 hours,financial situation
88,student,student_88,student_88,male,18-19,bachelor,6b06105 media technologies,1 year,above 3.5,90-100%,computer sciences,more than 4 hours,7-9 hours,high,no,full support,often,very high,rather satisfied,very often,important,11–20 hours,amount of self-study
89,student,student_89,student_89,male,18-19,bachelor,6b06105 media technologies,1 year,above 3.5,50-69%,humanities,less than 1 hour,less than 6 hours,very high,no,partial support,never,high,rather satisfied,sometimes,important,less than 5 hours,amount of self-study
90,student,student_90,student_90,male,16-17,bachelor,6b06105 media technologies,1 year,2.0-2.7,90-100%,technical sciences,1-3 hours,less than 6 hours,average,no,partial support,often,low,rather satisfied,sometimes,important,more than 20 hours,interest in the subject
91,student,student_91,student_91,female,18-19,bachelor,6b06105 media technologies,1 year,2.8-3.4,90-100%,technical sciences,1-3 hours,less than 6 hours,average,"yes, part-time",full support,very often,average,rather satisfied,often,important,less than 5 hours,interest in the subject
92,student,student_92,student_92,female,16-17,bachelor,6b06105 media technologies,1 year,above 3.5,90-100%,computer sciences,1-3 hours,7-9 hours,average,"yes, part-time",partial support,rarely,high,rather satisfied,often,important,less than 5 hours,personal motivation
93,student,student_93,student_93,female,18-19,bachelor,6b06105 media technologies,1 year,above 3.5,90-100%,computer sciences,1-3 hours,7-9 hours,high,no,full support,sometimes,very high,fully satisfied,rarely,moderately important,less than 5 hours,quality of teaching
94,student,student_94,student_94,female,18-19,bachelor,6b06105 media technologies,1 year,2.8-3.4,90-100%,technical sciences,1-3 hours,7-9 hours,very low,no,partial support,very often,high,rather dissatisfied,rarely,important,less than 5 hours,personal motivation
95,student,student_95,student_95,male,22-23,master,7m06105 computer science and engineering,2 year,3.1-3.2,80-89%,technical sciences,1-3 hours,7-9 hours,average,"yes, full-time",partial support,sometimes,average,rather satisfied,often,important,less than 1 hour,personal motivation
96,student,student_96,student_96,male,22-23,master,7m06105 computer science and engineering,2 year,above 3.5,90-100%,technical sciences,more than 4 hours,more than 10 hours,high,no,full support,rarely,high,rather satisfied,sometimes,important,less than 1 hour,financial situation
97,student,student_97,student_97,male,22-23,master,7m06105 computer science and engineering,2 year,3.1-3.2,80-89%,technical sciences,1-3 hours,7-9 hours,average,"yes, part-time",partial support,sometimes,average,hard to say,sometimes,moderately important,2–8 hours,personal motivation
98,student,student_98,student_98,male,22-23,master,7m06105 computer science and engineering,2 year,3.3-3.4,80-89%,technical sciences,1-3 hours,less than 6 hours,high,no,full support,rarely,high,rather satisfied,often,important,2–8 hours,personal motivation
99,student,student_99,student_99,female,20-21,master,7m06105 computer science and engineering,1 year,3.1-3.2,80-89%,humanities,1-3 hours,7-9 hours,high,no,full support,,high,rather satisfied,sometimes,moderately important,2–8 hours,family support
100,student,student_100,student_100,male,20-21,phd,7m06105 computer science and engineering,2 year,below 2.7,70-79%,humanities,less than 1 hour,less than 6 hours,low,"yes, full-time",no financial support,often,average,rather dissatisfied,never,slightly important,less than 1 hour,stress level
101,student,student_101,student_101,male,20-21,master,7m06105 computer science and engineering,1 year,below 2.7,below 70%,humanities,do not prepare,less than 6 hours,low,"yes, full-time",no financial support,often,low,rather dissatisfied,never,slightly important,less than 1 hour,interest in the subject
102,student,student_102,student_102,male,20-21,master,7m06105 computer science and engineering,1 year,below 2.7,below 70%,humanities,do not prepare,less than 6 hours,low,"yes, full-time",partial support,often,low,not satisfied at all,never,slightly important,do not prepare,interest in the subject
103,student,student_103,student_103,female,20-21,master,7m06105 computer science and engineering,1 year,below 2.7,70-79%,humanities,do not prepare,7-9 hours,low,"yes, full-time",partial support,sometimes,average,hard to say,sometimes,moderately important,less than 1 hour,interest in the subject
104,student,student_104,student_104,female,20-21,master,7m06105 computer science and engineering,1 year,below 2.7,70-79%,humanities,do not prepare,7-9 hours,average,"yes, part-time",partial support,sometimes,average,hard to say,sometimes,moderately important,2–8 hours,interest in the subject
105,student,student_105,student_105,male,20-21,master,7m06105 computer science and engineering,1 year,3.1-3.2,80-89%,technical sciences,1-3 hours,7-9 hours,average,"yes, full-time",partial support,sometimes,average,hard to say,sometimes,moderately important,2–8 hours,amount of self-study
106,student,student_106,student_106,male,20-21,master,7m06105 computer science and engineering,1 year,3.3-3.4,80-89%,humanities,more than 4 hours,more than 10 hours,high,no,full support,often,high,rather satisfied,often,important,9–15 hours,family support
107,student,student_107,student_107,male,20-21,master,7m06105 computer science and engineering,1 year,3.1-3.2,80-89%,humanities,1-3 hours,7-9 hours,average,no,partial support,sometimes,high,rather satisfied,rarely,slightly important,2–8 hours,personal motivation
108,student,student_108,student_108,male,20-21,master,7m06105 computer science and engineering,1 year,3.3-3.4,80-89%,humanities,1-3 hours,7-9 hours,high,"yes, part-time",partial support,often,high,rather satisfied,never,moderately important,2–8 hours,financial situation
109,student,student_109,student_109,male,20-21,master,7m06105 computer science and engineering,1 year,3.1-3.2,80-89%,humanities,less than 1 hour,7-9 hours,high,"yes, part-time",partial support,sometimes,average,hard to say,sometimes,moderately important,2–8 hours,quality of teaching
110,student,student_110,student_110,male,above 24,master,7m06105 computer science and engineering,2 year,3.3-3.4,80-89%,humanities,1-3 hours,7-9 hours,average,"yes, full-time",no financial support,sometimes,average,hard to say,sometimes,moderately important,2–8 hours,quality of teaching
111,student,student_111,student_111,male,22-23,master,7m06105 computer science and engineering,2 year,above 3.5,90-100%,technical sciences,1-3 hours,7-9 hours,high,no,full support,often,high,rather satisfied,rarely,important,2–8 hours,quality of teaching
112,student,student_112,student_112,male,22-23,master,7m06105 computer science and engineering,2 year,3.3-3.4,80-89%,technical sciences,1-3 hours,7-9 hours,high,"yes, full-time",no financial support,sometimes,low,hard to say,often,important,2–8 hours,interest in the subject
113,student,student_113,student_113,female,20-21,master,7m06105 computer science and engineering,1 year,3.1-3.2,90-100%,technical sciences,1-3 hours,7-9 hours,high,"yes, part-time",partial support,often,high,rather satisfied,rarely,important,2–8 hours,quality of teaching
114,student,student_114,student_114,male,20-21,master,7m06105 computer science and engineering,1 year,3.1-3.2,80-89%,humanities,more than 4 hours,more than 10 hours,high,no,full support,often,high,rather satisfied,rarely,slightly important,9–15 hours,personal motivation
115,student,student_115,student_115,male,20-21,master,7m06105 computer science and engineering,1 year,3.3-3.4,80-89%,technical sciences,1-3 hours,7-9 hours,high,"yes, part-time",partial support,rarely,average,hard to say,sometimes,moderately important,2–8 hours,personal motivation
116,student,student_116,student_116,male,22-23,master,7m06105 computer science and engineering,2 year,3.3-3.4,80-89%,technical sciences,1-3 hours,7-9 hours,high,no,full support,rarely,average,rather satisfied,sometimes,moderately important,9–15 hours,personal motivation
117,student,student_117,student_117,male,20-21,master,7m06105 computer science and engineering,1 year,below 2.7,below 70%,humanities,1-3 hours,7-9 hours,low,"yes, full-time",no financial support,rarely,low,rather dissatisfied,never,slightly important,do not prepare,financial situation
118,student,student_118,student_118,female,20-21,master,7m06105 computer science and engineering,1 year,below 2.7,below 70%,humanities,do not prepare,7-9 hours,very low,"yes, full-time",no financial support,never,very low,not satisfied at all,never,not important,do not prepare,personal motivation
119,student,student_119,student_119,male,22-23,master,7m06105 computer science and engineering,2 year,3.3-3.4,80-89%,computer sciences,1-3 hours,more than 10 hours,high,no,partial support,rarely,high,rather satisfied,never,slightly important,9–15 hours,quality of teaching
120,student,student_120,student_120,male,22-23,master,7m06105 computer science and engineering,2 year,above 3.5,90-100%,computer sciences,1-3 hours,7-9 hours,high,"yes, full-time",no financial support,sometimes,average,hard to say,sometimes,moderately important,2–8 hours,quality of teaching
121,student,student_121,student_121,male,22-23,master,7m06105 computer science and engineering,1 year,above 3.5,90-100%,computer sciences,1-3 hours,less than 6 hours,high,"yes, full-time",no financial support,often,high,rather satisfied,often,important,9–15 hours,interest in the subject
122,student,student_122,student_122,male,22-23,master,7m06105 computer science and engineering,1 year,3.3-3.4,90-100%,computer sciences,1-3 hours,7-9 hours,average,"yes, full-time",full support,often,high,rather satisfied,rarely,not important,9–15 hours,family support
